Sample in Buffer,Sample in Window,TRIGGER,input_x0[31:0],output_x0[31:0]
265,265,0,64375,0
266,266,0,64729,0
267,267,0,65019,0
268,268,0,65245,0
269,269,0,65407,0
270,270,0,65504,0
271,271,0,65536,0
272,272,0,65504,0
273,273,0,65407,0
274,274,0,65245,0
275,275,0,65019,0
276,276,0,64729,0
277,277,0,64375,0
278,278,0,63958,0
279,279,0,63477,0
280,280,0,62934,0
281,281,0,62328,0
282,282,0,61662,0
283,283,0,60934,0
284,284,0,60146,0
285,285,0,59299,0
286,286,0,58393,0
287,287,0,57430,0
288,288,0,56410,0
289,289,0,55334,0
290,290,0,54204,0
291,291,0,53020,0
292,292,0,51784,0
293,293,0,50496,0
294,294,0,49159,0
295,295,0,47774,0
296,296,0,46341,0
297,297,0,44862,0
298,298,0,43340,0
299,299,0,41774,0
300,300,0,40167,0
301,301,0,38521,0
302,302,0,36837,0
303,303,0,35116,0
304,304,0,33361,0
305,305,0,31572,0
306,306,0,29753,0
307,307,0,27904,0
308,308,0,26027,0
309,309,0,24125,0
310,310,0,22200,0
311,311,0,20252,0
312,312,0,18284,0
313,313,0,16298,0
314,314,0,14296,0
315,315,0,12280,0
316,316,0,10252,0
317,317,0,8214,0
318,318,0,6167,0
319,319,0,4115,0
320,320,0,2059,0
321,321,0,0,0
322,322,0,-2059,0
323,323,0,-4115,0
324,324,0,-6167,0
325,325,0,-8214,0
326,326,0,-10252,0
327,327,0,-12280,0
328,328,0,-14296,0
329,329,0,-16298,0
330,330,0,-18284,0
331,331,0,-20252,0
332,332,0,-22200,0
333,333,0,-24125,0
334,334,0,-26027,0
335,335,0,-27904,0
336,336,0,-29753,0
337,337,0,-31572,0
338,338,0,-33361,0
339,339,0,-35116,0
340,340,0,-36837,0
341,341,0,-38521,0
342,342,0,-40167,0
343,343,0,-41774,0
344,344,0,-43340,0
345,345,0,-44862,0
346,346,0,-46341,0
347,347,0,-47774,0
348,348,0,-49159,0
349,349,0,-50496,0
350,350,0,-51784,0
351,351,0,-53020,0
352,352,0,-54204,0
353,353,0,-55334,0
354,354,0,-56410,0
355,355,0,-57430,0
356,356,0,-58393,0
357,357,0,-59299,0
358,358,0,-60146,0
359,359,0,-60934,0
360,360,0,-61662,0
361,361,0,-62328,0
362,362,0,-62934,0
363,363,0,-63477,0
364,364,0,-63958,0
365,365,0,-64375,0
366,366,0,-64729,0
367,367,0,-65019,0
368,368,0,-65245,0
369,369,0,-65407,0
370,370,0,-65504,0
371,371,0,-65536,0
372,372,0,-65504,0
373,373,0,-65407,0
374,374,0,-65245,0
375,375,0,-65019,0
376,376,0,-64729,0
377,377,0,-64375,0
378,378,0,-63958,0
379,379,0,-63477,0
380,380,0,-62934,0
381,381,0,-62328,0
382,382,0,-61662,0
383,383,0,-60934,0
384,384,0,-60146,0
385,385,0,-59299,0
386,386,0,-58393,0
387,387,0,-57430,0
388,388,0,-56410,0
389,389,0,-55334,0
390,390,0,-54204,0
391,391,0,-53020,0
392,392,0,-51784,0
393,393,0,-50496,0
394,394,0,-49159,0
395,395,0,-47774,0
396,396,0,-46341,0
397,397,0,-44862,0
398,398,0,-43340,0
399,399,0,-41774,0
400,400,0,-40167,0
401,401,0,-38521,0
402,402,0,-36837,0
403,403,0,-35116,0
404,404,0,-33361,0
405,405,0,-31572,0
406,406,0,-29753,0
407,407,0,-27904,0
408,408,0,-26027,0
409,409,0,-24125,0
410,410,0,-22200,0
411,411,0,-20252,0
